BW,EST1
263374,9.273571
165273,7.787118
10881,2.852271
15427,3.052095
7199,2.641069
56850,4.573626
32,5.000000
16397,3.634660
9100,2.828672
738972,11.190952
8448,2.842828
19516,3.346297
275153,6.333730
899920,13.328333
167497,7.209895
3021,1.870682
6978,2.867709
673148,12.333889
5125,2.460940
10944,10.861111
13120,12.038889
442594,8.456865
27604,3.733465
458808,7.545251
14596,2.879201
29760,11.622222
119808,12.611667
57608,4.398622
208116,6.809246
68858,4.951140
359087,7.783175
18885,3.285186
19154,2.815535
25152,10.461111
74723,4.789113
7558,2.836228
13051,3.271054
10170,3.058468
694942,11.676746
135764,6.036100
14491,2.907679
62629,4.789229
524436,11.440556
6352,2.628246
15826,3.449657
132096,13.275000
15872,11.111111
213910,9.515238
441842,8.467593
86342,5.110293
69497,4.920415
56847,4.624152
41868,4.155181
9603,2.564759
1139979,9.232540
7389,2.777411
5614,2.753302
464352,10.960635
56905,4.500025
208224,12.141111
50185,4.322125
10383,3.198081
359719,8.604987
3732,2.021576
57920,4.353339
578433,10.229444
8832,10.033333
60480,12.072222
21479,3.207197
134488,5.491878
146106,6.618516
317952,13.602778
262656,13.177778
882925,9.469048
242732,8.825159
44017,4.356815
55301,4.100472
449951,9.808214
39559,3.962702
15900,3.032202
7431,3.119507
7523,2.999279
6119,2.698279
22651,3.298919
11068,3.141245
268039,8.605899
29972,3.671345
118420,4.622342
221626,7.921667
119808,13.594444
60671,4.942777
880003,8.532870
214454,6.522484
159905,6.052383
17197,3.145933
67804,4.743485
10533,3.436668
297161,8.849127
467976,10.053373
67963,4.732223
465446,10.029841
17813,3.644022
86750,5.182987
86144,10.844444
6677,2.691484
36656,4.874733
26477,3.249172
57972,4.344065
3723,2.304189
16616,3.369989
121459,5.870026
4819,2.376071
512,8.000000
5023,2.672001
15016,3.440552
7848,3.131374
5836,2.296499
26553,3.630178
482387,8.255397
63072,12.303889
36075,4.245940
590617,8.499206
24187,3.942134
114693,8.710608
486319,9.037937
55296,13.800000
424041,8.154762
418636,9.656508
86548,5.209920
4878,2.574364
4714,2.813331
157702,5.730980
246166,6.998439
41795,3.960837
822096,13.430556
486720,13.998333
67376,4.857555
25927,3.523285
43338,4.092679
3770,2.375070
345892,10.750159
37821,3.778351
281088,13.477778
43249,4.036651
155666,7.954127
22588,3.723270
4877,2.272232
373389,10.543730
6873,2.653369
16433,3.506044
108215,6.742632
19591,3.209356
201714,6.125780
21504,11.944444
58530,4.404525
