Vertices,Edges,Edge probability,2^boolwidth,est min,est avg,est max
60,501,0.568502,2176,0.368347,2.101426,3.878788
60,564,0.632458,1068,0.430556,1.350529,3.511111
60,229,0.248765,85030,1.926190,4.852763,9.316667
60,511,0.552313,1971,0.492157,1.957669,3.719298
60,583,0.652102,861,0.419935,1.556950,3.300000
60,233,0.251305,80777,1.991667,5.392948,10.683333
60,518,0.597454,1828,0.338095,1.569527,3.750000
60,655,0.736275,367,0.170455,1.327977,2.538462
60,623,0.700126,560,0.383824,1.516244,3.245455
60,436,0.455793,4879,1.000000,2.754075,5.408333
60,188,0.201555,251292,3.402778,5.752184,8.583333
60,397,0.455968,9135,0.833766,3.009538,4.993590
60,638,0.689743,464,0.143541,1.070520,2.517157
60,284,0.300803,40387,2.250000,4.222174,7.319048
60,476,0.519802,2929,0.483333,2.047052,3.673611
60,610,0.649223,640,0.344444,1.314518,2.876812
60,357,0.403861,12811,0.957576,2.995775,4.904762
60,511,0.560031,1941,0.170455,1.854202,4.541667
60,266,0.302583,55169,2.111111,4.435677,7.616667
60,568,0.600806,998,0.383824,1.551456,3.158824
60,511,0.557820,2038,0.208333,1.902793,4.058824
60,693,0.794471,251,0.186335,0.963556,1.875000
60,546,0.608301,1231,0.398413,1.838379,3.633333
60,668,0.759308,321,0.288462,1.169434,2.373333
60,298,0.337396,32207,1.274242,3.810036,5.750000
60,663,0.730542,333,0.150000,1.306701,2.472222
60,195,0.233533,146585,1.809524,6.131984,10.833333
60,293,0.324568,34262,1.433333,3.695152,7.361111
60,519,0.578237,1714,0.373611,1.953507,4.295455
60,624,0.684997,529,0.288462,1.343561,2.716667
60,168,0.202270,258117,3.866667,7.000728,11.116667
60,410,0.482090,7117,0.838889,2.758183,4.687500
60,373,0.414362,11894,1.076923,2.651336,4.533333
60,558,0.607133,1185,0.383824,1.688850,3.552632
60,693,0.766353,233,0.150000,0.953327,2.373333
60,510,0.578734,1987,0.407576,1.803498,3.222222
60,713,0.789512,187,0.170455,0.966137,2.243478
60,576,0.660977,903,0.150000,1.362069,3.214286
60,204,0.244811,101449,3.726190,6.310901,10.083333
60,689,0.770433,244,0.186335,1.158689,2.291667
60,477,0.560157,2826,0.850000,2.340769,4.205357
60,303,0.341021,32061,1.059524,3.971954,5.808333
60,699,0.774139,230,0.138889,1.093345,2.373333
60,496,0.528025,2236,0.419935,2.081242,3.585965
60,374,0.422635,10944,1.128968,2.846349,5.219298
60,641,0.704730,453,0.497619,1.444035,3.245455
60,592,0.654644,752,0.407576,1.643715,3.293478
60,255,0.261238,68374,2.283333,4.138267,7.311111
60,675,0.769365,302,0.138889,1.098111,2.373333
60,531,0.613446,1528,0.663743,1.867407,3.666667
60,578,0.659823,884,0.500000,1.548967,2.716667
60,547,0.613711,1245,0.398413,1.682606,3.135965
60,370,0.420322,12348,1.200000,3.127110,5.027778
60,435,0.500439,5189,0.578788,2.437878,5.209524
60,213,0.226307,122414,2.000000,5.233915,8.061111
60,438,0.493408,4532,0.917832,2.575936,4.952020
