Vertices,Edges,Edge probability,2^boolwidth,est
60,419,0.472030,5846,131
60,208,0.226020,123530,229
60,427,0.478843,5507,110
60,222,0.231506,107999,225
60,275,0.337781,46279,160
60,572,0.627690,883,67
60,327,0.343338,21778,148
60,210,0.233492,138070,204
60,384,0.428907,9336,111
60,371,0.398236,10491,146
60,361,0.384199,15430,148
60,569,0.625128,968,78
60,632,0.700607,497,54
60,654,0.724625,416,51
60,377,0.416843,11089,134
60,682,0.784037,257,41
60,598,0.655203,716,64
60,313,0.333506,24146,121
60,314,0.348057,23729,168
60,316,0.366552,24023,165
60,342,0.390149,15242,131
60,698,0.788809,224,41
60,532,0.572804,1477,83
60,708,0.771025,218,43
60,528,0.590567,1558,97
60,307,0.368706,26453,135
60,626,0.710563,526,64
60,409,0.434342,6586,118
60,709,0.783206,198,46
60,385,0.429556,9045,138
60,718,0.794853,181,36
60,444,0.480895,4368,97
60,658,0.735708,377,62
60,529,0.598695,1525,87
60,272,0.318480,54510,167
60,614,0.674384,607,68
60,216,0.245784,115096,270
60,294,0.315834,33611,176
60,474,0.519666,3113,108
60,619,0.697553,553,62
60,653,0.719447,380,54
60,518,0.564512,1991,83
60,677,0.770556,305,45
60,615,0.703582,596,63
60,630,0.685630,475,55
60,439,0.500489,4562,130
60,261,0.299760,64404,202
60,582,0.645123,805,71
60,688,0.736554,247,46
60,606,0.693126,668,68
60,302,0.344421,30577,184
60,618,0.693033,571,67
60,659,0.718932,356,62
60,216,0.248755,108665,170
60,717,0.784922,173,44
60,260,0.306668,51651,202
60,315,0.330595,23948,146
60,360,0.381697,13748,152
60,489,0.566736,2536,86
60,372,0.411153,12008,135
60,349,0.400366,14729,149
60,574,0.639020,960,66
60,686,0.759001,263,46
60,456,0.474337,4143,96
60,570,0.646000,939,68
60,319,0.369335,24526,170
60,471,0.538308,3345,89
60,411,0.457221,7185,126
60,546,0.615745,1257,72
60,479,0.553810,2534,95
60,287,0.318779,31856,172
60,570,0.636422,972,75
60,214,0.223587,134282,208
60,319,0.389310,21756,151
60,423,0.475893,5868,128
60,692,0.765812,232,41
60,696,0.786462,220,44
60,230,0.228969,92975,235
60,390,0.431636,9500,137
60,310,0.356777,27232,169
60,317,0.363734,24506,194
60,574,0.644687,983,69
60,640,0.682406,453,56
60,554,0.612572,1157,80
60,432,0.484958,5048,94
60,226,0.278993,72002,224
60,421,0.458733,5556,117
60,303,0.352084,28490,187
60,170,0.231449,172076,278
60,185,0.200357,171348,202
60,259,0.307250,74493,165
60,274,0.301837,53096,189
60,439,0.510436,4361,120
60,396,0.466501,7889,120
60,706,0.780424,212,41
60,195,0.222422,126120,215
60,394,0.427529,8684,117
60,496,0.534428,2306,82
60,372,0.408496,11273,114
60,591,0.666526,788,72
60,288,0.324031,38654,166
